MF_GO_IDs,MF_GO_Names
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000287,magnesium ion binding
GO:0000386,second spliceosomal transesterification activity
GO:0000774,adenyl-nucleotide exchange factor activity
GO:0000829,inositol heptakisphosphate kinase activity
GO:0000906,"6,7-dimethyl-8-ribityllumazine synthase activity"
GO:0000906,"6,7-dimethyl-8-ribityllumazine synthase activity"
GO:0000976,transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000987,cis-regulatory region sequence-specific DNA binding
GO:0000987,cis-regulatory region sequence-specific DNA binding
GO:0000987,cis-regulatory region sequence-specific DNA binding
GO:0000987,cis-regulatory region sequence-specific DNA binding
GO:0000987,cis-regulatory region sequence-specific DNA binding
GO:0000987,cis-regulatory region sequence-specific DNA binding
GO:0000987,cis-regulatory region sequence-specific DNA binding
GO:0000987,cis-regulatory region sequence-specific DNA binding
GO:0000987,cis-regulatory region sequence-specific DNA binding
GO:0000987,cis-regulatory region sequence-specific DNA binding
GO:0000995,RNA polymerase III general transcription initiation factor activity
GO:0000995,RNA polymerase III general transcription initiation factor activity
GO:0001164,RNA polymerase I core promoter sequence-specific DNA binding
GO:0001671,ATPase activator activity
GO:0001735,prenylcysteine oxidase activity
GO:0002151,G-quadruplex RNA binding
